id,location,total_sqft,bhk,bath,asking_price,predicted_price,investment_rating,searched_at
18, Basavangudi,900.0,2,2,70.0,43.0104,Overpriced,2026-08-18 16:12:28
17, Basavangudi,900.0,4,4,80.0,77.9658,Fair Value,2026-08-18 16:12:16
16,Ambalipura,1250.0,4,4,80.0,122.067,Undervalued,2026-08-18 16:10:24
15, Anekal,1200.0,2,2,65.0,54.8678,Overpriced,2026-08-18 16:09:33
14, Anekal,1300.0,3,3,72.0,59.1311,Overpriced,2026-08-18 16:05:10
13,Bidrahalli,1300.0,3,3,72.0,59.1311,Overpriced,2026-08-18 16:04:54
12,Bidrahalli,1300.0,3,3,72.0,59.1311,Overpriced,2026-08-18 16:04:47
11,1st Stage Domlur,1200.0,2,2,65.0,54.8678,Overpriced,2026-08-18 16:04:21
10,1st Stage Domlur,1200.0,2,2,65.0,54.8678,Overpriced,2026-08-18 16:03:53
9,Electronic City ,1000.0,3,3,50.0,76.8138,🟢 Undervalued,2026-08-18 13:08:51
8,Electronic City ,1000.0,2,2,50.0,47.7337,🟡 Fair Value,2026-08-18 13:08:43
7,chika tirupathi ,1000.0,2,2,50.0,47.7337,🟡 Fair Value,2026-08-18 12:12:56
6,chika tirupathi ,1000.0,2,2,50.0,47.7337,🟡 Fair Value,2026-08-18 11:58:24
5,chika tirupathi ,1500.0,4,4,70.0,141.11,🟢 Undervalued,2026-08-17 14:37:03
4,white field,1000.0,2,2,50.0,47.7337,🟡 Fair Value,2026-08-17 14:23:14
3,white field ,800.0,1,1,50.0,37.1717,🔴 Overpriced,2026-08-17 14:16:53
2,white field ,800.0,1,1,50.0,37.1717,🔴 Overpriced,2026-08-17 14:16:31
1,white field ,1000.0,2,2,50.0,47.7337,🟡 Fair Value,2026-08-17 14:10:44
